inegi,poblacion,per_pobr,per_pobrext,per_pobrmod,per_carencia_soc,per_carencia_ing,per_nopobnovul,per_rezago_edu,per_carencia_salud,per_carencia_ss,per_carencia_calvivienda,per_carencia_servbasicosvivienda,per_car_accesoalimen,per_una_carenciasocial,per_tresomas_carencias,per_inginf_lineabienestar,per_inginf_lineabienestarminimo,year
1001,"861,446",26.1,1.6,24.5,26.4,11.5,36,11.7,15.1,36.4,3.7,3,18,52.6,7.3,37.6,10,2015
1002,"46,624",54,4.4,49.5,29,7.7,9.3,19.8,6,69,7.8,16.2,24.7,83,14.1,61.7,24.4,2015
1003,"52,773",56.8,3.1,53.6,27.6,6.3,9.3,23.2,9.9,73.6,5.2,7.7,17.3,84.3,10.5,63.1,26.8,2015
1004,"15,321",43.2,2.8,40.4,32.7,8,16.1,14.7,5.5,62.7,7.9,7.6,20.7,75.9,9.9,51.2,16.6,2015
1005,"125,750",25,1.7,23.4,38,6.6,30.3,17.3,15.2,45,8.2,6.3,18.7,63.1,11.3,31.6,7.9,2015
1006,"45,733",34.9,2.2,32.7,30.2,10.5,24.4,15.3,10.5,49.8,5.8,5.8,19.4,65.1,9.2,45.5,13.8,2015
1007,"50,895",50.1,3.3,46.8,23.2,9.9,16.8,14.6,10.3,60.8,7.8,7.7,22.7,73.3,10.6,59.9,22.9,2015
1008,"8,768",59.6,5.3,54.3,22.2,4.4,13.8,15.3,5.2,74.7,6.8,8.6,20.9,81.8,10.1,64.1,28.2,2015
1009,"20,484",50.7,3.1,47.5,31.2,7.1,11.1,20.8,8.3,68.2,6.1,10.5,21.4,81.9,11.2,57.7,21,2015
1010,"19,955",55.1,5.3,49.7,26,8.2,10.8,19.7,9.1,63.8,8.2,17.1,24.8,81,14.4,63.2,26.3,2015
1011,"45,152",31.3,1.8,29.5,28.4,13.7,26.7,16.9,11.6,37.5,5.4,3.2,20.9,59.7,7.6,45,12.8,2015
2001,"569,425",33.5,3.5,30,37.1,6.6,22.7,17.9,14.5,54.2,12.6,27.9,18.3,70.6,21.5,40.1,10.5,2015
2002,"1,014,987",25.7,1.7,23.9,31.8,8.2,34.4,11.6,15.4,41.4,8.3,10.1,14,57.5,10.2,33.8,8.3,2015
2003,"110,870",26.6,1.7,24.9,37.5,7.1,28.8,14,11.5,44.4,11.7,17.1,13.3,64.1,11.7,33.8,8.6,2015
2004,"1,693,494",29.5,1.8,27.6,33.1,8.4,29,12.7,21,46.3,8.4,7.3,13.9,62.6,10.2,37.9,9.5,2015
2005,"110,698",37.8,2.8,35,40.5,5.5,16.2,13.5,18.9,62.4,12.2,18.5,17,78.3,15.3,43.3,12.3,2015
3001,"82,445",38.8,3.2,35.6,32,6.8,22.5,18.3,8.2,53.7,8.1,9.7,26.1,70.8,13.4,45.6,13.6,2015
3002,"65,196",27.8,2.1,25.7,39,7.2,26,23.3,8.8,47.7,22.7,20.6,13.5,66.8,20,35,9.3,2015
3003,"293,687",24.3,1.7,22.5,30,7.2,38.5,10.3,12.2,38.2,6,5.6,20.4,54.3,9,31.5,8.5,2015
3008,"306,837",27.6,3,24.5,40.3,4.9,27.2,14.6,15.8,43.7,21.9,15.8,23.5,67.8,19.3,32.5,7.2,2015
3009,"22,045",41.3,3.4,37.9,24.2,9.7,24.9,11.1,9.1,48.7,9.4,9.3,23.1,65.5,10,51,20.2,2015
4001,"53,086",58.2,12.7,45.5,24.6,3.8,13.3,20.3,10.1,67.9,19.4,56.7,24.7,82.8,35.7,62.1,24.2,2015
4002,"283,248",31.2,2.8,28.5,28.2,8.4,32.2,13.9,9.9,41.6,10.5,13.5,17.9,59.4,12,39.6,9.5,2015
4003,"276,498",29,3.6,25.4,41.2,3.1,26.6,19.5,17.5,52.4,23,24.7,22.9,70.2,27.6,32.2,6.9,2015
4004,"89,851",57.3,10.4,46.9,28.8,4,9.9,26.5,10.7,66.8,19.4,50.9,26.4,86.1,35.1,61.3,20.9,2015
4005,"29,167",56,11.1,44.9,25.8,5,13.2,19.9,13.7,63.3,17.8,55.2,19.3,81.9,33,61,23.8,2015
4006,"34,592",69,16.9,52.1,24.2,1.6,5.2,31.6,11.7,82,14.8,72.3,18.7,93.3,41.6,70.6,32.3,2015
4007,"9,092",60.4,15.1,45.3,29.2,2.9,7.6,22.2,4.4,79.3,21.4,54.2,28.2,89.5,37.1,63.3,26.3,2015
4008,"11,093",55.1,8.9,46.2,32.5,3.1,9.2,21.3,5.7,67.4,22.4,60.5,22.5,87.7,33.9,58.2,19.8,2015
4009,"61,888",59.1,11.3,47.8,32.1,2.2,6.6,27.1,9,80.2,23.9,52.3,36.1,91.2,43.4,61.3,19.8,2015
4010,"22,738",74.3,23.5,50.8,23.9,0.4,1.4,24.5,8.5,90.1,28.6,80.9,30.7,98.2,52.6,74.7,37.6,2015
4011,"40,532",67.6,17.9,49.7,29.2,0.8,2.4,31.3,11.8,88.2,26.2,63.7,35.2,96.8,50.2,68.4,27.7,2015
5001,"1,021",3.9,0.1,3.8,73.4,1,21.6,14.5,12.7,69.9,2.3,5.3,12.7,77.3,8.6,5,2,2015
