ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,AGUASCALIENTES,1,AGUASCALIENTES,452,1110,114392,58000,3495,3188,14665,2883,3060,121530,6526,2158,563,408,59,818,579,250,62,4993,1477,279,1165,336,30989,289,9347,381511,636960
1,AGUASCALIENTES,2,ASIENTOS,17,54,4481,3237,192,168,720,188,426,9788,361,82,46,30,2,21,19,28,3,214,106,23,100,33,673,4,696,21641,33710
1,AGUASCALIENTES,3,CALVILLO,31,76,8685,3721,420,313,1233,201,329,6225,334,124,46,27,2,21,45,16,6,189,81,12,48,42,1241,26,1038,24425,45680
1,AGUASCALIENTES,4,COSIO,5,18,1494,1339,158,90,387,58,82,2202,134,29,6,10,1,13,3,3,2,78,33,13,21,6,210,0,170,6542,11439
1,AGUASCALIENTES,5,JESUS MARIA,22,118,15678,8160,442,594,1582,274,349,11203,598,285,60,37,8,108,101,29,3,465,136,27,105,65,3442,33,1018,44802,78946
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,49,3345,2663,1601,260,715,199,684,7074,344,119,101,25,7,20,15,25,7,225,63,14,77,7,968,8,536,19102,30679
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,61,4401,2933,176,244,2011,291,535,6651,497,102,18,36,7,28,24,25,3,340,118,25,82,27,984,17,670,20245,37004
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,13,1510,790,74,15,595,39,98,1335,61,27,10,3,0,2,2,1,2,25,20,1,7,0,157,2,140,4916,6770
1,AGUASCALIENTES,9,TEPEZALA,10,25,2488,1830,355,900,350,77,269,2620,173,50,61,7,4,11,39,10,10,66,37,5,26,3,229,1,325,9946,15125
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,49,3774,4348,146,372,625,104,190,6052,430,77,21,10,1,34,18,7,3,232,65,21,70,22,1110,4,502,18238,32309
1,AGUASCALIENTES,11,EL LLANO,8,25,1854,1762,375,71,672,89,123,2877,218,42,41,7,1,20,10,5,0,119,38,11,25,6,270,2,263,8901,14826
2,BAJA CALIFORNIA,,VOTO EN EL EXTRANJERO,,,341,62,11,3,47,17,5,764,7,37,4,4,0,10,0,0,0,103,17,1,7,0,37,5,28,1510,2630
2,BAJA CALIFORNIA,1,ENSENADA,229,671,32486,15880,2777,1373,14284,1519,1078,108712,3795,1057,318,242,52,414,388,108,55,5468,2291,324,1175,17,15013,201,4665,213692,391569
2,BAJA CALIFORNIA,2,MEXICALI,580,1343,80591,32133,3515,2941,16958,3771,2243,200606,8374,2451,561,676,76,857,877,204,143,9931,2925,521,2427,225,28013,373,8185,409577,776148
2,BAJA CALIFORNIA,3,TECATE,41,136,7300,4880,463,335,2222,497,375,19333,1199,200,60,70,12,90,124,23,6,825,285,61,283,4,3234,56,976,42913,84638
2,BAJA CALIFORNIA,4,TIJUANA,1070,2410,110924,46868,5729,3988,34946,5810,3073,410722,13207,3301,805,929,102,1095,1261,230,131,17003,5894,816,4279,229,41140,602,13423,726507,1386657
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,27,141,7396,2449,595,233,1917,390,161,24773,783,231,63,110,10,44,68,8,9,1089,314,41,210,4,2386,15,924,44223,92555
3,BAJA CALIFORNIA SUR,,VOTO EN EL EXTRANJERO,,,31,6,1,1,3,0,0,89,0,5,0,1,0,1,0,0,0,3,0,0,1,0,1,0,3,146,220
3,BAJA CALIFORNIA SUR,1,COMONDU,72,114,5365,3652,155,139,1491,201,181,16782,1061,174,65,23,10,50,57,15,6,766,189,64,475,31,1407,44,924,33327,53666
3,BAJA CALIFORNIA SUR,2,MULEGE,44,85,4663,1483,139,157,1566,118,1350,12887,676,84,80,20,2,50,47,40,14,463,192,37,143,54,976,21,881,26143,41048
3,BAJA CALIFORNIA SUR,3,LA PAZ,223,397,20720,11080,473,1310,5280,680,575,64598,2833,524,147,152,10,334,267,48,20,2953,826,208,1422,166,8337,98,2594,125655,203030
3,BAJA CALIFORNIA SUR,4,LOS CABOS,134,357,18843,4694,607,1001,14975,437,352,53341,1491,455,174,101,44,110,168,31,15,2160,1606,196,568,148,5657,71,2065,109310,206467
3,BAJA CALIFORNIA SUR,5,LORETO,10,25,2190,716,34,189,784,17,20,3405,113,32,13,4,0,6,12,3,2,117,44,14,20,5,388,1,178,8307,11935
4,CAMPECHE,,VOTO EN EL EXTRANJERO,,,28,11,1,1,5,0,0,133,1,2,0,0,0,1,1,0,0,23,1,0,0,0,1,0,2,211,351
4,CAMPECHE,1,CAMPECHE,146,368,14905,27127,1225,894,11581,843,997,70179,2137,355,157,231,29,1402,839,168,20,3053,1202,145,583,141,5334,109,3108,146764,205172
4,CAMPECHE,2,CALKINI,36,76,1568,7431,597,383,2307,510,657,16456,401,36,23,24,21,362,121,84,4,398,152,27,67,2,498,2,822,32953,40662
4,CAMPECHE,3,CARMEN,135,301,8944,14439,771,462,5829,536,434,68352,1339,250,71,70,15,968,471,99,35,2656,1018,93,640,13,3401,22,2684,113612,178048
